Date,Open,High,Low,Close,Volume,Currency
2018-04-08,1.0289,1.0289,1.0116,1.01549,5461,USD
2018-04-09,1.01549,1.01549,0.91828,0.9951,14297,USD
2018-04-10,0.9951,1.0059,0.93168,0.9961,6575,USD
2018-04-11,0.9961,1.0051,0.9919,0.99191,6522,USD
2018-04-12,0.99191,1.0088,0.96439,1.0088,12535,USD
2018-04-13,1.0088,1.06419,0.9978,1.0,53603,USD
2018-04-14,1.0,1.01119,0.9943,0.9943,6553,USD
2018-04-15,0.9943,1.0101,0.99401,0.99557,11568,USD
2018-04-16,0.99557,1.00773,0.99555,1.00205,14888,USD
2018-04-17,1.00205,1.00207,0.99453,0.99453,27188,USD
2018-04-18,0.99453,1.00204,0.99403,1.0019,7388,USD
2018-04-19,1.0019,1.02686,0.97861,0.99003,31989,USD
2018-04-20,0.99003,1.00611,0.98182,0.99392,51803,USD
2018-04-21,0.99392,1.99972,0.9813,0.9813,313742,USD
2018-04-22,0.9813,1.062,0.9766,0.98131,217009,USD
2018-04-23,0.98131,1.0149,0.98101,0.99891,67334,USD
2018-04-24,0.99891,1.00931,0.98492,1.00001,68644,USD
2018-04-25,1.00001,1.00041,0.98501,0.98501,78304,USD
2018-04-26,0.98501,0.98952,0.97763,0.98812,49250,USD
2018-04-27,0.98812,1.00041,0.97772,0.98732,52426,USD
2018-04-28,0.98732,0.99992,0.98702,0.99992,39383,USD
2018-04-29,0.99992,1.00002,0.987,0.9871,42776,USD
2018-04-30,0.9871,0.9988,0.987,0.9922,34820,USD
2018-05-01,0.9871,0.9984,0.9871,0.998,12089,USD
2018-05-02,0.998,1.009,0.998,1.0,47442,USD
2018-05-03,1.0,1.0103,0.998,0.9999,57654,USD
2018-05-04,0.9999,1.0092,0.998,1.001,48482,USD
2018-05-05,1.001,1.0091,0.998,0.998,30647,USD
2018-05-06,0.998,1.0888,0.998,1.0,198103,USD
2018-05-07,1.0,1.04,0.9954,1.0016,117487,USD
2018-05-08,1.0,1.016,0.998,0.998,64119,USD
2018-05-09,0.998,1.003,0.998,0.9988,35970,USD
2018-05-10,0.998,1.0,0.998,0.9982,49102,USD
2018-05-11,0.9982,1.079,0.998,1.0263,191057,USD
2018-05-12,1.0263,1.05,0.998,0.9982,119762,USD
2018-05-13,0.9981,1.0089,0.998,1.0,19881,USD
2018-05-14,0.9981,1.0227,0.998,0.9982,28943,USD
2018-05-15,0.9982,1.0134,0.9982,0.9982,19645,USD
2018-05-16,0.9982,1.0122,0.998,1.005,31737,USD
2018-05-17,0.999,1.01,0.998,0.9981,21590,USD
2018-05-18,0.9981,1.0178,0.9981,1.008,29456,USD
2018-05-19,1.008,1.014,0.9985,1.006,8436,USD
2018-05-20,1.006,1.03,0.9985,0.9991,16459,USD
2018-05-21,0.9991,1.017,0.999,0.9992,28992,USD
2018-05-22,0.9992,1.0123,0.9985,0.999,30925,USD
2018-05-23,0.999,1.0087,0.985,0.985,128517,USD
2018-05-24,0.9878,0.9988,0.9139,0.995,5300,USD
2018-05-25,0.995,0.995,0.9925,0.9925,5524,USD
2018-05-26,0.9989,1.002,0.9925,0.9925,1728,USD
2018-05-27,0.9925,1.002,0.99,1.002,4442,USD
2018-05-28,1.002,1.002,0.95,0.99,36048,USD
2018-05-29,0.99,0.9998,0.9851,0.9864,6926,USD
2018-05-30,0.9864,0.9998,0.9863,0.9945,5964,USD
2018-05-31,0.9945,0.9955,0.9864,0.9955,29576,USD
2018-06-01,0.9955,0.9955,0.9806,0.9942,34146,USD
2018-06-02,0.9807,0.9952,0.9107,0.9952,1666,USD
2018-06-03,0.9952,0.9952,0.934,0.9862,440,USD
2018-06-04,0.9862,0.9908,0.978,0.978,4398,USD
2018-06-05,0.978,0.9923,0.975,0.9923,1407,USD
2018-06-06,0.9921,0.9948,0.975,0.9946,1308,USD
