symbols,link,data
PEP,https://www.morningstar.com/stocks/xnas/PEP/sustainability,"(['E&S Impact of Products & Services\nOverall\nHuman Rights\nSupply Chain\nResource Use\nOverall'], 4, 'Incidents: Social Supply Chain')"
COST,https://www.morningstar.com/stocks/xnas/COST/sustainability,"(['Human Capital\nOverall\nProduct Governance\nOverall\nHuman Rights\nSupply Chain'], 3, 'Incidents: Customer')"
CMCSA,https://www.morningstar.com/stocks/xnas/CMCSA/sustainability,"(['Data Privacy & Security\nOverall\nProduct Governance\nOverall\nHuman Capital\nOverall'], 3, 'Incidents: Business Ethics, Employee, Customer')"
ADBE,https://www.morningstar.com/stocks/xnas/ADBE/sustainability,"(['Human Capital\nOverall\nData Privacy & Security\nOverall\nProduct Governance\nOverall'], 4, 'Incidents: Business Ethics, Customer')"
QCOM,https://www.morningstar.com/stocks/xnas/QCOM/sustainability,"(['Business Ethics\nOverall\nProduct Governance\nOverall\nHuman Capital\nOverall'], 4, 'Incidents: Customer')"
AZN,https://www.morningstar.com/stocks/xnas/AZN/sustainability,"(['Product Governance\nOverall\nAccess to Basic Services\nOverall\nBribery & Corruption\nOverall'], 3, 'Incidents: Business Ethics')"
INTC,https://www.morningstar.com/stocks/xnas/INTC/sustainability,"(['Business Ethics\nOverall\nHuman Capital\nOverall\nProduct Governance\nOverall'], 4, 'Incidents: Business Ethics, Customer')"
NFLX,https://www.morningstar.com/stocks/xnas/NFLX/sustainability,"(['Business Ethics\nOverall\nHuman Capital\nOverall\nData Privacy & Security\nOverall'], 4, 'Incidents: Business Ethics, Governance, Employee, Customer')"
TMUS,https://www.morningstar.com/stocks/xnas/TMUS/sustainability,"(['Product Governance\nOverall\nHuman Capital\nOverall\nBusiness Ethics\nOverall'], 3, 'Incidents: Customer')"
TXN,https://www.morningstar.com/stocks/xnas/TXN/sustainability,"(['Resource Use\nOverall\nHuman Capital\nOverall\nBusiness Ethics\nOverall'], 3, 'Incidents: Customer')"
AMD,https://www.morningstar.com/stocks/xnas/AMD/sustainability,"(['Human Capital\nOverall\nBusiness Ethics\nOverall\nProduct Governance\nOverall'], 4, 'Incidents: Operations, Business Ethics, Governance, Customer')"
INTU,https://www.morningstar.com/stocks/xnas/INTU/sustainability,"(['Data Privacy & Security\nOverall\nHuman Capital\nOverall\nBusiness Ethics\nOverall'], 4, 'Incidents: Customer')"
SNY,https://www.morningstar.com/stocks/xnas/SNY/sustainability,"(['Product Governance\nOverall\nBusiness Ethics\nOverall\nAccess to Basic Services\nOverall'], 3, 'Incidents: Customer')"
HON,https://www.morningstar.com/stocks/xnas/HON/sustainability,"(['Business Ethics\nOverall\nEmissions, Effluents & Waste\nOverall\nProduct Governance\nOverall'], 3, 'Incidents: Operations, Society & Community')"
AMGN,https://www.morningstar.com/stocks/xnas/AMGN/sustainability,"(['Product Governance\nOverall\nAccess to Basic Services\nOverall\nBusiness Ethics\nOverall'], 4, 'Incidents: Society & Community')"
CHTR,https://www.morningstar.com/stocks/xnas/CHTR/sustainability,"(['Data Privacy & Security\nOverall\nProduct Governance\nOverall\nHuman Capital\nOverall'], 3, 'Incidents: Business Ethics, Employee, Customer')"
PYPL,https://www.morningstar.com/stocks/xnas/PYPL/sustainability,"(['Data Privacy & Security\nOverall\nHuman Capital\nOverall\nBusiness Ethics\nOverall'], 4, 'Incidents: Business Ethics, Customer, Society & Community')"
AMAT,https://www.morningstar.com/stocks/xnas/AMAT/sustainability,"(['Human Capital\nOverall\nResource Use\nOverall\nEmissions, Effluents & Waste\nOverall'], 4, 'Incidents: Business Ethics')"
JD,https://www.morningstar.com/stocks/xnas/JD/sustainability,"(['Product Governance\nOverall\nE&S Impact of Products & Services\nOverall\nBusiness Ethics\nOverall'], 3, 'Incidents: Business Ethics, Governance, Employee, Customer')"
BKNG,https://www.morningstar.com/stocks/xnas/BKNG/sustainability,"(['Data Privacy & Security\nOverall\nHuman Capital\nOverall\nBusiness Ethics\nOverall'], 3, 'Incidents: Business Ethics, Customer, Society & Community')"
SBUX,https://www.morningstar.com/stocks/xnas/SBUX/sustainability,"(['Human Capital\nOverall\nHuman Rights\nSupply Chain\nCarbon\nOwn Operations'], 3, 'Incidents: Product & Service, Business Ethics, Employee, Social Supply Chain, Customer')"
ABNB,https://www.morningstar.com/stocks/xnas/ABNB/sustainability,"(['Human Capital\nOverall\nData Privacy & Security\nOverall\nBusiness Ethics\nOverall'], 3, 'Incidents: Business Ethics, Customer, Society & Community')"
MU,https://www.morningstar.com/stocks/xnas/MU/sustainability,"(['Business Ethics\nOverall\nHuman Capital\nOverall\nResource Use\nOverall'], 4, 'Incidents: Customer')"
ISRG,https://www.morningstar.com/stocks/xnas/ISRG/sustainability,"(['Product Governance\nOverall\nBusiness Ethics\nOverall\nHuman Capital\nOverall'], 3, 'Incidents: Business Ethics, Governance, Customer')"
MDLZ,https://www.morningstar.com/stocks/xnas/MDLZ/sustainability,
CME,https://www.morningstar.com/stocks/xnas/CME/sustainability,
ADP,https://www.morningstar.com/stocks/xnas/ADP/sustainability,
ADI,https://www.morningstar.com/stocks/xnas/ADI/sustainability,
LRCX,https://www.morningstar.com/stocks/xnas/LRCX/sustainability,
GILD,https://www.morningstar.com/stocks/xnas/GILD/sustainability,
CSX,https://www.morningstar.com/stocks/xnas/CSX/sustainability,
TEAM,https://www.morningstar.com/stocks/xnas/TEAM/sustainability,
