volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2569015,0.5079,0.49350000000000005,0.5,0.53,0.485,2020-10-01 04:00:00,3224,CSCW
1872307,0.49670000000000003,0.4852,0.4903,0.5137,0.4703,2020-10-02 04:00:00,1806,CSCW
980856,0.4989,0.5016,0.5047,0.5199,0.49,2020-10-05 04:00:00,1533,CSCW
1397778,0.49920000000000003,0.5,0.492,0.515,0.48,2020-10-06 04:00:00,1669,CSCW
646478,0.4993,0.4917,0.493,0.51,0.49,2020-10-07 04:00:00,1062,CSCW
710514,0.49150000000000005,0.4922,0.485,0.5,0.48050000000000004,2020-10-08 04:00:00,1125,CSCW
976024,0.4902,0.5,0.485,0.5,0.48450000000000004,2020-10-09 04:00:00,1675,CSCW
6047967,0.5546,0.485,0.54,0.55,0.48,2020-10-12 04:00:00,5548,CSCW
22579573,0.7047,0.6766,0.63,0.79,0.5921000000000001,2020-10-13 04:00:00,35551,CSCW
2868193,0.6115,0.6231,0.6145,0.6495000000000001,0.5710000000000001,2020-10-14 04:00:00,5632,CSCW
2420270,0.6143000000000001,0.64,0.63,0.64,0.59,2020-10-15 04:00:00,3067,CSCW
1960139,0.5899,0.6000000000000001,0.589,0.62,0.5700000000000001,2020-10-16 04:00:00,2542,CSCW
1540983,0.5517000000000001,0.54,0.55,0.5707,0.53,2020-10-19 04:00:00,2133,CSCW
1221285,0.5586,0.55,0.5585,0.58,0.5339,2020-10-20 04:00:00,2332,CSCW
1408904,0.5418000000000001,0.5678000000000001,0.5399,0.5700000000000001,0.523,2020-10-21 04:00:00,2471,CSCW
1383999,0.5403,0.5399,0.5599000000000001,0.5700000000000001,0.51,2020-10-22 04:00:00,1934,CSCW
4960822,0.5953,0.5482,0.6328,0.6488,0.52,2020-10-23 04:00:00,5063,CSCW
1657613,0.5918,0.607,0.6063000000000001,0.64,0.5700000000000001,2020-10-26 04:00:00,2137,CSCW
1006268,0.5671,0.606,0.5696,0.606,0.54305,2020-10-27 04:00:00,1631,CSCW
1220929,0.5218,0.5252,0.5262,0.55,0.505,2020-10-28 04:00:00,1685,CSCW
1174128,0.5334,0.52,0.5601,0.5650000000000001,0.5,2020-10-29 04:00:00,2663,CSCW
1022145,0.5298,0.5311,0.5389,0.5630000000000001,0.5003000000000001,2020-10-30 04:00:00,1409,CSCW
1002080,0.5206000000000001,0.54,0.5347000000000001,0.54,0.5013000000000001,2020-11-02 05:00:00,1932,CSCW
1288681,0.5103,0.53,0.5095000000000001,0.5374,0.5002,2020-11-03 05:00:00,1530,CSCW
1210857,0.49520000000000003,0.5,0.5062,0.52,0.48,2020-11-04 05:00:00,1512,CSCW
746245,0.49010000000000004,0.5,0.49920000000000003,0.504,0.481,2020-11-05 05:00:00,1257,CSCW
857325,0.487,0.49,0.489768,0.5,0.47800000000000004,2020-11-06 05:00:00,1157,CSCW
968435,0.4857,0.499,0.496,0.5,0.47000000000000003,2020-11-09 05:00:00,1727,CSCW
1043509,0.47740000000000005,0.494,0.48250000000000004,0.494,0.46,2020-11-10 05:00:00,1510,CSCW
877503,0.4655,0.483,0.46900000000000003,0.484,0.4505,2020-11-11 05:00:00,1164,CSCW
4965393,0.5217,0.47000000000000003,0.5632,0.5680000000000001,0.46,2020-11-12 05:00:00,6600,CSCW
2663269,0.5372,0.5584,0.5367000000000001,0.5745,0.512,2020-11-13 05:00:00,4113,CSCW
1973154,0.4857,0.51,0.487,0.5101,0.4702,2020-11-16 05:00:00,2589,CSCW
841466,0.4828,0.48,0.4801,0.499,0.48,2020-11-17 05:00:00,1439,CSCW
3993222,0.5099,0.48,0.5285000000000001,0.537,0.47100000000000003,2020-11-18 05:00:00,5332,CSCW
1690259,0.5037,0.52,0.5152,0.5399,0.482,2020-11-19 05:00:00,2496,CSCW
951097,0.4917,0.49050000000000005,0.499,0.5,0.485,2020-11-20 05:00:00,1849,CSCW
1612460,0.48310000000000003,0.499,0.4897,0.499,0.47440000000000004,2020-11-23 05:00:00,2205,CSCW
4254398,0.5015000000000001,0.48,0.5056,0.524,0.4701,2020-11-24 05:00:00,4275,CSCW
8755122,0.5585,0.523,0.58,0.595,0.52,2020-11-25 05:00:00,9293,CSCW
1614281,0.5545,0.5711,0.5493,0.58,0.5322,2020-11-27 05:00:00,2153,CSCW
3243099,0.5449,0.5549000000000001,0.5700000000000001,0.5700000000000001,0.5,2020-11-30 05:00:00,4471,CSCW
2597057,0.5524,0.5741,0.5598000000000001,0.5825,0.52,2020-12-01 05:00:00,3397,CSCW
1390507,0.5334,0.56,0.5295,0.56,0.526,2020-12-02 05:00:00,1885,CSCW
4864422,0.5547000000000001,0.5423,0.54,0.578,0.5303,2020-12-03 05:00:00,5773,CSCW
6366164,0.5806,0.56,0.5785,0.619,0.536,2020-12-04 05:00:00,7255,CSCW
3483941,0.5808,0.61,0.5749000000000001,0.619,0.5501,2020-12-07 05:00:00,5527,CSCW
