ds,yhat30,symbol
2022-02-05,26.74765968322754,Filecoin
2022-02-06,25.766157150268555,Filecoin
2022-02-07,22.30711555480957,Filecoin
2022-02-08,23.09511947631836,Filecoin
2022-02-09,21.944602966308594,Filecoin
2022-02-10,21.52450942993164,Filecoin
2022-02-11,23.74663734436035,Filecoin
2022-02-12,22.31727409362793,Filecoin
2022-02-13,22.74403953552246,Filecoin
2022-02-14,22.82801628112793,Filecoin
2022-02-15,22.717390060424805,Filecoin
2022-02-16,22.939979553222656,Filecoin
2022-02-17,21.969614028930664,Filecoin
2022-02-18,21.073577880859375,Filecoin
2022-02-19,21.021156311035156,Filecoin
2022-02-20,17.118114471435547,Filecoin
2022-02-21,14.624822616577148,Filecoin
2022-02-22,13.960088729858398,Filecoin
2022-02-23,13.464345932006836,Filecoin
2022-02-24,13.446954727172852,Filecoin
2022-02-25,15.317192077636719,Filecoin
2022-02-26,14.581300735473633,Filecoin
2022-02-27,15.539447784423828,Filecoin
2022-02-28,15.573099136352539,Filecoin
2022-03-01,14.531808853149414,Filecoin
2022-03-02,16.42339324951172,Filecoin
2022-03-03,15.965509414672852,Filecoin
