ds,yhat30,symbol
2022-02-04,24.718137741088867,chainlink
2022-02-05,25.449867248535156,chainlink
2022-02-06,25.52149772644043,chainlink
2022-02-07,25.184598922729492,chainlink
2022-02-08,25.687381744384766,chainlink
2022-02-09,26.321693420410156,chainlink
2022-02-10,24.714906692504883,chainlink
2022-02-11,23.36410903930664,chainlink
2022-02-12,23.213619232177734,chainlink
2022-02-13,22.91465950012207,chainlink
2022-02-14,23.663949966430664,chainlink
2022-02-15,23.356470108032227,chainlink
2022-02-16,22.760427474975586,chainlink
2022-02-17,21.539382934570312,chainlink
2022-02-18,20.6848087310791,chainlink
2022-02-19,19.367290496826172,chainlink
2022-02-20,17.003036499023438,chainlink
2022-02-21,16.35236167907715,chainlink
2022-02-22,16.0816707611084,chainlink
2022-02-23,16.539831161499023,chainlink
2022-02-24,15.532119750976562,chainlink
2022-02-25,15.318744659423828,chainlink
2022-02-26,16.209957122802734,chainlink
2022-02-27,16.61966323852539,chainlink
2022-02-28,17.560388565063477,chainlink
2022-03-01,18.398120880126953,chainlink
2022-03-02,18.98598289489746,chainlink
