ds,yhat30,symbol
2022-02-04,37.89787292480469,ethereum classic
2022-02-05,37.37593078613281,ethereum classic
2022-02-06,37.285030364990234,ethereum classic
2022-02-07,36.43726348876953,ethereum classic
2022-02-08,36.554473876953125,ethereum classic
2022-02-09,35.75757598876953,ethereum classic
2022-02-10,35.9523811340332,ethereum classic
2022-02-11,37.24380874633789,ethereum classic
2022-02-12,36.985103607177734,ethereum classic
2022-02-13,37.25558090209961,ethereum classic
2022-02-14,38.74363708496094,ethereum classic
2022-02-15,38.28205871582031,ethereum classic
2022-02-16,37.04117965698242,ethereum classic
2022-02-17,37.80080032348633,ethereum classic
2022-02-18,37.156036376953125,ethereum classic
2022-02-19,36.25936508178711,ethereum classic
2022-02-20,33.43720626831055,ethereum classic
2022-02-21,32.58528518676758,ethereum classic
2022-02-22,33.50480270385742,ethereum classic
2022-02-23,33.800628662109375,ethereum classic
2022-02-24,33.38935470581055,ethereum classic
2022-02-25,33.57618713378906,ethereum classic
2022-02-26,33.680877685546875,ethereum classic
2022-02-27,34.448753356933594,ethereum classic
2022-02-28,34.54087448120117,ethereum classic
2022-03-01,33.25025177001953,ethereum classic
2022-03-02,34.34267044067383,ethereum classic
