ds,yhat30,symbol
2022-02-05,132.85919189453125,solana
2022-02-06,128.83233642578125,solana
2022-02-07,116.07780456542969,solana
2022-02-08,127.31085968017578,solana
2022-02-09,128.1846160888672,solana
2022-02-10,124.92201232910156,solana
2022-02-11,130.857421875,solana
2022-02-12,135.69515991210938,solana
2022-02-13,134.74551391601562,solana
2022-02-14,123.55902099609375,solana
2022-02-15,131.0413055419922,solana
2022-02-16,128.898681640625,solana
2022-02-17,119.18601989746094,solana
2022-02-18,118.28690338134766,solana
2022-02-19,117.51727294921875,solana
2022-02-20,103.85404968261719,solana
2022-02-21,87.64395904541016,solana
2022-02-22,92.92918395996094,solana
2022-02-23,93.94058990478516,solana
2022-02-24,87.65621948242188,solana
2022-02-25,90.48355865478516,solana
2022-02-26,88.86351013183594,solana
2022-02-27,90.87831115722656,solana
2022-02-28,96.390380859375,solana
2022-03-01,91.00723266601562,solana
2022-03-02,96.43053436279297,solana
2022-03-03,94.24095153808594,solana
