ds,yhat30,symbol
2022-02-04,14.45890998840332,near protocol
2022-02-05,14.658437728881836,near protocol
2022-02-06,15.636717796325684,near protocol
2022-02-07,16.293691635131836,near protocol
2022-02-08,15.430998802185059,near protocol
2022-02-09,15.354143142700195,near protocol
2022-02-10,16.933818817138672,near protocol
2022-02-11,16.97924041748047,near protocol
2022-02-12,15.516938209533691,near protocol
2022-02-13,16.46161651611328,near protocol
2022-02-14,17.568822860717773,near protocol
2022-02-15,17.195444107055664,near protocol
2022-02-16,17.382463455200195,near protocol
2022-02-17,17.38998031616211,near protocol
2022-02-18,18.111400604248047,near protocol
2022-02-19,17.60692024230957,near protocol
2022-02-20,16.676158905029297,near protocol
2022-02-21,16.788116455078125,near protocol
2022-02-22,17.92465591430664,near protocol
2022-02-23,17.672697067260742,near protocol
2022-02-24,17.630556106567383,near protocol
2022-02-25,17.865121841430664,near protocol
2022-02-26,18.444976806640625,near protocol
2022-02-27,18.79936981201172,near protocol
2022-02-28,19.20334243774414,near protocol
2022-03-01,20.324228286743164,near protocol
2022-03-02,19.112926483154297,near protocol
