ds,yhat30,symbol
2022-02-04,140.7015838623047,litecoin
2022-02-05,140.6949920654297,litecoin
2022-02-06,135.20704650878906,litecoin
2022-02-07,133.0627899169922,litecoin
2022-02-08,132.79306030273438,litecoin
2022-02-09,132.83502197265625,litecoin
2022-02-10,137.21868896484375,litecoin
2022-02-11,141.9114227294922,litecoin
2022-02-12,145.60968017578125,litecoin
2022-02-13,149.65628051757812,litecoin
2022-02-14,148.6461944580078,litecoin
2022-02-15,150.19007873535156,litecoin
2022-02-16,149.083740234375,litecoin
2022-02-17,142.39266967773438,litecoin
2022-02-18,140.71981811523438,litecoin
2022-02-19,131.66009521484375,litecoin
2022-02-20,125.82080078125,litecoin
2022-02-21,119.28496551513672,litecoin
2022-02-22,120.03385925292969,litecoin
2022-02-23,119.11146545410156,litecoin
2022-02-24,120.05400848388672,litecoin
2022-02-25,121.31990051269531,litecoin
2022-02-26,125.87760925292969,litecoin
2022-02-27,125.740234375,litecoin
2022-02-28,126.02438354492188,litecoin
2022-03-01,126.22086334228516,litecoin
2022-03-02,124.40885925292969,litecoin
