ds,yhat30,symbol
2022-02-05,199.5891876220703,Aave
2022-02-06,194.1313018798828,Aave
2022-02-07,189.41831970214844,Aave
2022-02-08,172.05178833007812,Aave
2022-02-09,178.4295654296875,Aave
2022-02-10,205.626708984375,Aave
2022-02-11,179.43844604492188,Aave
2022-02-12,198.21920776367188,Aave
2022-02-13,195.11831665039062,Aave
2022-02-14,211.39979553222656,Aave
2022-02-15,210.76463317871094,Aave
2022-02-16,206.55014038085938,Aave
2022-02-17,225.92910766601562,Aave
2022-02-18,210.0009765625,Aave
2022-02-19,197.12124633789062,Aave
2022-02-20,187.63983154296875,Aave
2022-02-21,144.68389892578125,Aave
2022-02-22,172.40707397460938,Aave
2022-02-23,137.08958435058594,Aave
2022-02-24,127.4459457397461,Aave
2022-02-25,149.1909942626953,Aave
2022-02-26,131.21041870117188,Aave
2022-02-27,148.5086669921875,Aave
2022-02-28,142.18426513671875,Aave
2022-03-01,153.92617797851562,Aave
2022-03-02,145.25413513183594,Aave
2022-03-03,177.03872680664062,Aave
