ds,yhat30,symbol
2022-02-05,2.2546300888061523,Stacks
2022-02-06,2.2588202953338623,Stacks
2022-02-07,2.2976632118225098,Stacks
2022-02-08,2.2213892936706543,Stacks
2022-02-09,2.106004238128662,Stacks
2022-02-10,2.0579137802124023,Stacks
2022-02-11,2.1497974395751953,Stacks
2022-02-12,2.2419021129608154,Stacks
2022-02-13,2.2404680252075195,Stacks
2022-02-14,2.246102809906006,Stacks
2022-02-15,2.3356308937072754,Stacks
2022-02-16,2.254241466522217,Stacks
2022-02-17,2.3219807147979736,Stacks
2022-02-18,2.2804603576660156,Stacks
2022-02-19,2.1602773666381836,Stacks
2022-02-20,1.9471079111099243,Stacks
2022-02-21,1.8980847597122192,Stacks
2022-02-22,1.8680425882339478,Stacks
2022-02-23,1.780166506767273,Stacks
2022-02-24,1.7920680046081543,Stacks
2022-02-25,1.8189160823822021,Stacks
2022-02-26,1.846819519996643,Stacks
2022-02-27,1.9288841485977173,Stacks
2022-02-28,2.0361623764038086,Stacks
2022-03-01,2.1273322105407715,Stacks
2022-03-02,2.131742238998413,Stacks
2022-03-03,2.1091318130493164,Stacks
