ds,yhat30,symbol
2022-02-05,183.08982849121094,Elrond
2022-02-06,181.72659301757812,Elrond
2022-02-07,166.01287841796875,Elrond
2022-02-08,181.79942321777344,Elrond
2022-02-09,175.45111083984375,Elrond
2022-02-10,159.11268615722656,Elrond
2022-02-11,163.50732421875,Elrond
2022-02-12,160.4851531982422,Elrond
2022-02-13,163.70484924316406,Elrond
2022-02-14,161.8912353515625,Elrond
2022-02-15,154.63490295410156,Elrond
2022-02-16,178.29054260253906,Elrond
2022-02-17,172.0242919921875,Elrond
2022-02-18,156.58033752441406,Elrond
2022-02-19,148.03762817382812,Elrond
2022-02-20,137.6059112548828,Elrond
2022-02-21,126.06803894042969,Elrond
2022-02-22,111.93046569824219,Elrond
2022-02-23,102.76301574707031,Elrond
2022-02-24,126.88966369628906,Elrond
2022-02-25,138.3545379638672,Elrond
2022-02-26,120.52166748046875,Elrond
2022-02-27,121.3360595703125,Elrond
2022-02-28,131.18321228027344,Elrond
2022-03-01,126.99786376953125,Elrond
2022-03-02,129.00360107421875,Elrond
2022-03-03,133.36166381835938,Elrond
