ds,yhat30,symbol
2022-02-05,7.162750244140625,OMG Network
2022-02-06,7.107768535614014,OMG Network
2022-02-07,7.239805221557617,OMG Network
2022-02-08,6.880231857299805,OMG Network
2022-02-09,7.147594451904297,OMG Network
2022-02-10,7.13484525680542,OMG Network
2022-02-11,7.1492156982421875,OMG Network
2022-02-12,7.559224605560303,OMG Network
2022-02-13,7.434313774108887,OMG Network
2022-02-14,7.869497776031494,OMG Network
2022-02-15,7.845890045166016,OMG Network
2022-02-16,7.628703594207764,OMG Network
2022-02-17,7.354671955108643,OMG Network
2022-02-18,7.249917030334473,OMG Network
2022-02-19,6.952127933502197,OMG Network
2022-02-20,6.764117240905762,OMG Network
2022-02-21,6.899643421173096,OMG Network
2022-02-22,6.657621383666992,OMG Network
2022-02-23,6.750019550323486,OMG Network
2022-02-24,6.763446807861328,OMG Network
2022-02-25,6.552586078643799,OMG Network
2022-02-26,7.00363826751709,OMG Network
2022-02-27,6.6122212409973145,OMG Network
2022-02-28,6.8368706703186035,OMG Network
2022-03-01,7.1383442878723145,OMG Network
2022-03-02,6.976978778839111,OMG Network
2022-03-03,7.130577564239502,OMG Network
