ds,yhat30,symbol
2022-02-05,4.614039897918701,Tezos
2022-02-06,4.650254726409912,Tezos
2022-02-07,4.516598224639893,Tezos
2022-02-08,4.362361431121826,Tezos
2022-02-09,4.461831092834473,Tezos
2022-02-10,4.170915603637695,Tezos
2022-02-11,4.46671199798584,Tezos
2022-02-12,4.540470600128174,Tezos
2022-02-13,4.21604585647583,Tezos
2022-02-14,4.580876350402832,Tezos
2022-02-15,4.500869274139404,Tezos
2022-02-16,4.237330913543701,Tezos
2022-02-17,4.508716583251953,Tezos
2022-02-18,4.113659858703613,Tezos
2022-02-19,4.065855503082275,Tezos
2022-02-20,4.000547409057617,Tezos
2022-02-21,3.526780128479004,Tezos
2022-02-22,3.7139575481414795,Tezos
2022-02-23,3.683659791946411,Tezos
2022-02-24,3.5579519271850586,Tezos
2022-02-25,3.7120020389556885,Tezos
2022-02-26,3.6123366355895996,Tezos
2022-02-27,3.6774392127990723,Tezos
2022-02-28,3.721890687942505,Tezos
2022-03-01,3.8065738677978516,Tezos
2022-03-02,3.81950044631958,Tezos
2022-03-03,4.135965824127197,Tezos
